D:\beta_simulator_windows\data\IMG\center_2021_01_02_11_39_42_031.jpg,D:\beta_simulator_windows\data\IMG\left_2021_01_02_11_39_42_031.jpg,D:\beta_simulator_windows\data\IMG\right_2021_01_02_11_39_42_031.jpg,0,0.7080315,0,30.12584
D:\beta_simulator_windows\data\IMG\center_2021_01_02_11_39_42_098.jpg,D:\beta_simulator_windows\data\IMG\left_2021_01_02_11_39_42_098.jpg,D:\beta_simulator_windows\data\IMG\right_2021_01_02_11_39_42_098.jpg,0,0.4956254,0,30.09006
D:\beta_simulator_windows\data\IMG\center_2021_01_02_11_39_42_175.jpg,D:\beta_simulator_windows\data\IMG\left_2021_01_02_11_39_42_175.jpg,D:\beta_simulator_windows\data\IMG\right_2021_01_02_11_39_42_175.jpg,0,0.2625717,0,30.01547
D:\beta_simulator_windows\data\IMG\center_2021_01_02_11_39_42_258.jpg,D:\beta_simulator_windows\data\IMG\left_2021_01_02_11_39_42_258.jpg,D:\beta_simulator_windows\data\IMG\right_2021_01_02_11_39_42_258.jpg,0,0.01364515,0,29.90987
D:\beta_simulator_windows\data\IMG\center_2021_01_02_11_39_42_338.jpg,D:\beta_simulator_windows\data\IMG\left_2021_01_02_11_39_42_338.jpg,D:\beta_simulator_windows\data\IMG\right_2021_01_02_11_39_42_338.jpg,0,0,0,29.66905
D:\beta_simulator_windows\data\IMG\center_2021_01_02_11_39_42_414.jpg,D:\beta_simulator_windows\data\IMG\left_2021_01_02_11_39_42_414.jpg,D:\beta_simulator_windows\data\IMG\right_2021_01_02_11_39_42_414.jpg,0,0,0,29.43045
D:\beta_simulator_windows\data\IMG\center_2021_01_02_11_39_42_502.jpg,D:\beta_simulator_windows\data\IMG\left_2021_01_02_11_39_42_502.jpg,D:\beta_simulator_windows\data\IMG\right_2021_01_02_11_39_42_502.jpg,0,0,0,29.19404
D:\beta_simulator_windows\data\IMG\center_2021_01_02_11_39_42_582.jpg,D:\beta_simulator_windows\data\IMG\left_2021_01_02_11_39_42_582.jpg,D:\beta_simulator_windows\data\IMG\right_2021_01_02_11_39_42_582.jpg,0,0,0,28.95974
D:\beta_simulator_windows\data\IMG\center_2021_01_02_11_39_42_772.jpg,D:\beta_simulator_windows\data\IMG\left_2021_01_02_11_39_42_772.jpg,D:\beta_simulator_windows\data\IMG\right_2021_01_02_11_39_42_772.jpg,0,0,0,28.49621
D:\beta_simulator_windows\data\IMG\center_2021_01_02_11_40_08_106.jpg,D:\beta_simulator_windows\data\IMG\left_2021_01_02_11_40_08_106.jpg,D:\beta_simulator_windows\data\IMG\right_2021_01_02_11_40_08_106.jpg,0,0,0,7.897377
D:\beta_simulator_windows\data\IMG\center_2021_01_02_11_40_08_175.jpg,D:\beta_simulator_windows\data\IMG\left_2021_01_02_11_40_08_175.jpg,D:\beta_simulator_windows\data\IMG\right_2021_01_02_11_40_08_175.jpg,0,0,0,7.849725
D:\beta_simulator_windows\data\IMG\center_2021_01_02_11_40_08_286.jpg,D:\beta_simulator_windows\data\IMG\left_2021_01_02_11_40_08_286.jpg,D:\beta_simulator_windows\data\IMG\right_2021_01_02_11_40_08_286.jpg,0,0,0,7.755281
D:\beta_simulator_windows\data\IMG\center_2021_01_02_11_40_08_354.jpg,D:\beta_simulator_windows\data\IMG\left_2021_01_02_11_40_08_354.jpg,D:\beta_simulator_windows\data\IMG\right_2021_01_02_11_40_08_354.jpg,0,0,0,7.708487
D:\beta_simulator_windows\data\IMG\center_2021_01_02_11_40_08_430.jpg,D:\beta_simulator_windows\data\IMG\left_2021_01_02_11_40_08_430.jpg,D:\beta_simulator_windows\data\IMG\right_2021_01_02_11_40_08_430.jpg,0,0,0,7.646532
D:\beta_simulator_windows\data\IMG\center_2021_01_02_11_40_08_497.jpg,D:\beta_simulator_windows\data\IMG\left_2021_01_02_11_40_08_497.jpg,D:\beta_simulator_windows\data\IMG\right_2021_01_02_11_40_08_497.jpg,0,0,0,7.600393
D:\beta_simulator_windows\data\IMG\center_2021_01_02_11_40_08_604.jpg,D:\beta_simulator_windows\data\IMG\left_2021_01_02_11_40_08_604.jpg,D:\beta_simulator_windows\data\IMG\right_2021_01_02_11_40_08_604.jpg,0,0,0,7.50895
